Body_Type,Kilometers_Driven,Owner_Count,oem,model,modelYear,price,Fuel_Type,Transmission,Engine_CC,Length_mm,Height_mm,Wheel_Base_mm,Kerb_weight_kg,Tyre_Type,Mileage_Kmpl,Max_Power_BHP,Torque_Nm,Seats,Wheel_size,City
Hatchback,31268,0,Renault,Renault KWID,2020,425000.0,Petrol,Manual,999.0,3731.0,1474.0,2422.0,730.0,TubelessRadial,21.74,67.0,91.0,5.0,15.697549201633866,Chennai
Hatchback,7267,1,Maruti,Maruti Celerio,2019,500000.0,Petrol,Manual,998.0,3715.0,1565.0,2425.0,835.0,TubelessRadial,23.1,67.04,90.0,5.0,15.697549201633866,Chennai
Hatchback,30000,2,Honda,Honda Jazz,2017,550000.0,Petrol,Manual,1199.0,3955.0,1544.0,2530.0,1042.0,TubelessRadial,18.7,88.7,110.0,5.0,15.0,Chennai
Hatchback,60000,2,Tata,Tata Nano,2012,87000.0,Petrol,Manual,624.0,3099.0,1652.0,2230.0,635.0,TubelessRadial,25.4,38.0,51.0,4.0,12.0,Chennai
SUV,100000,3,Mahindra,Mahindra Scorpio,2013,490000.00000000006,Diesel,Manual,2179.0,4430.0,1975.0,2680.0,1960.0,TubelessRadial,12.05,120.0,290.0,8.0,16.0,Chennai
Sedan,222996,1,Honda,Honda Amaze,2014,300000.0,Petrol,Manual,1199.0,3995.0,1501.0,2470.0,924.0,TubelessRadial,18.6,88.76,110.0,5.0,15.0,Chennai
Hatchback,110000,1,Maruti,Maruti Swift,2014,390000.0,Diesel,Manual,1248.0,3840.0,1530.0,2450.0,965.0,Tubeless,25.2,74.0,190.0,5.0,15.697549201633866,Chennai
Hatchback,132787,2,Ford,Ford Figo,2010,210000.0,Diesel,Manual,1399.0,3795.0,1427.0,2489.0,1115.0,TubelessRadial,20.0,68.0,160.0,5.0,14.0,Chennai
SUV,29351,1,Tata,Tata Nexon,2021,1105000.0,Diesel,Automatic,1497.0,3993.0,1606.0,2498.0,1280.0,TubelessRadial,22.07,108.49,260.0,5.0,16.0,Chennai
SUV,10048,1,Tata,Tata Nexon,2018,725000.0,Petrol,Manual,1198.0,3994.0,1607.0,2498.0,1252.0,TubelessRadial,17.0,108.5,170.0,5.0,15.697549201633866,Chennai
Sedan,50000,2,Maruti,Maruti Ciaz,2016,580000.0,Petrol,Manual,1373.0,4490.0,1485.0,2650.0,1010.0,TubelessRadial,20.73,91.1,130.0,5.0,15.697549201633866,Chennai
Hatchback,14696,1,Maruti,Maruti Baleno,2017,659000.0,Petrol,Automatic,1197.0,3995.0,1510.0,2520.0,920.0,TubelessRadial,21.4,83.1,115.0,5.0,16.0,Chennai
Hatchback,27153,1,Renault,Renault KWID,2016,356000.0,Petrol,Manual,799.0,3679.0,1478.0,2422.0,710.0,TubelessRadial,25.17,53.3,72.0,5.0,15.697549201633866,Chennai
Hatchback,50000,1,Hyundai,Hyundai Grand i10,2016,480000.0,Petrol,Manual,1197.0,3765.0,1520.0,2425.0,935.0,Tubeless,18.9,82.0,114.0,5.0,15.697549201633866,Chennai
MUV,43879,1,Renault,Renault Triber,2021,689000.0,Petrol,Manual,999.0,3991.0,1643.0,2520.0,947.0,TubelessRadial,20.0,71.01,96.0,7.0,15.697549201633866,Chennai
Hatchback,40480,1,Volkswagen,Volkswagen Polo,2017,625000.0,Petrol,Manual,1199.0,3971.0,1469.0,2469.0,1044.0,TubelessRadial,16.2,74.0,110.0,5.0,15.0,Chennai
SUV,32112,1,Ford,Ford Ecosport,2018,802999.9999999999,Petrol,Manual,1497.0,3998.0,1647.0,2519.0,1242.0,TubelessRadial,17.0,121.31,150.0,5.0,16.0,Chennai
Hatchback,31239,2,Maruti,Maruti Celerio,2017,516000.0,Petrol,Manual,998.0,3695.0,1555.0,2435.0,810.0,TubelessRadial,25.24,65.71,89.0,5.0,15.697549201633866,Chennai
Sedan,20000,1,Maruti,Maruti Ciaz,2018,950000.0,Diesel,Manual,1248.0,4490.0,1485.0,2650.0,1115.0,TubelessRadial,28.09,88.5,200.0,5.0,15.697549201633866,Chennai
SUV,80000,2,Mahindra,Mahindra XUV500,2014,825000.0,Diesel,Manual,2179.0,4585.0,1785.0,2700.0,1900.0,TubelessRadial,15.1,140.0,330.0,7.0,15.697549201633866,Chennai
Hatchback,91112,1,Mahindra,Mahindra KUV 100 NXT,2017,375000.0,Diesel,Manual,1198.0,3700.0,1655.0,2385.0,885.0,TubelessRadial,25.32,77.0,190.0,6.0,14.0,Chennai
Hatchback,68767,0,Maruti,Maruti Alto,2009,180000.0,Petrol,Manual,796.0,3495.0,1460.0,2360.0,705.0,TubelessRadial,19.7,46.3,62.0,5.0,12.0,Chennai
MUV,30000,1,Kia,Kia Carens,2022,1900000.0,Petrol,Automatic,1353.0,4540.0,1708.0,2780.0,1630.0,TubelessRadial,16.5,138.05,242.0,6.0,16.0,Chennai
SUV,10000,1,Kia,Kia Sonet,2022,900000.0,Petrol,Manual,1197.0,3995.0,1642.0,2500.0,1192.0,TubelessRadial,18.4,81.86,115.0,5.0,15.697549201633866,Chennai
Hatchback,42600,1,Maruti,Maruti Alto 800,2013,204999.99999999997,Petrol,Manual,796.0,3395.0,1475.0,2360.0,720.0,Tubeless,22.74,47.3,69.0,5.0,15.697549201633866,Chennai
Hatchback,13270,0,Maruti,Maruti Baleno,2021,710000.0,Petrol,Manual,1197.0,3995.0,1510.0,2520.0,865890.0,TubelessRadial,21.01,81.8,113.0,5.0,15.697549201633866,Chennai
Sedan,40000,1,Maruti,Maruti Swift Dzire,2019,630000.0,Petrol,Manual,1197.0,3995.0,1515.0,2450.0,860895.0,TubelessRadial,21.21,81.8,113.0,5.0,15.697549201633866,Chennai
Sedan,120000,3,Ford,Ford Fiesta,2009,155000.0,Petrol,Manual,1596.0,4105.515681544029,1530.0,2520.0,1100.0,TubelessRadial,15.3,88.7,140.0,5.0,15.0,Chennai
Sedan,22286,2,Honda,Honda City,2017,799000.0,Petrol,Manual,1497.0,4440.0,1495.0,2600.0,1049.0,TubelessRadial,17.8,117.3,145.0,5.0,15.0,Chennai
Hatchback,12132,1,Maruti,Maruti Wagon R,2022,630000.0,Petrol,Manual,1197.0,3655.0,1675.0,2435.0,830845.0,TubelessRadial,20.52,81.8,113.0,5.0,15.697549201633866,Chennai
Hatchback,79048,1,Tata,Tata Tiago,2018,415000.00000000006,Petrol,Manual,1199.0,3765.0,1535.0,2400.0,982.0,TubelessRadial,19.01,84.82,113.0,5.0,15.697549201633866,Chennai
Hatchback,48360,3,Tata,Tata Tiago,2016,417000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,84.0,114.0,5.0,14.0,Chennai
Hatchback,54538,2,Renault,Renault KWID,2016,334000.0,Petrol,Manual,799.0,3679.0,1478.0,2422.0,710.0,TubelessRadial,25.17,53.3,72.0,5.0,15.697549201633866,Chennai
Sedan,32157,1,Maruti,Maruti Swift Dzire,2017,590000.0,Petrol,Manual,1197.0,3995.0,1555.0,2430.0,945.0,TubelessRadial,20.85,83.14,115.0,5.0,15.697549201633866,Chennai
SUV,34182,1,Kia,Kia Seltos,2019,1028999.9999999999,Petrol,Manual,1497.0,4315.0,1645.0,2610.0,1335.0,TubelessRadial,16.8,113.43,144.0,5.0,16.0,Chennai
Hatchback,176801,1,Maruti,Maruti Swift,2009,250000.0,Diesel,Manual,1248.0,3840.0,1530.0,2450.0,960.0,Tubeless,28.4,74.0,190.0,5.0,15.697549201633866,Chennai
SUV,81508,1,Nissan,Nissan Magnite,2021,711000.0,Petrol,Manual,999.0,3994.0,1572.0,2500.0,939.0,TubelessRadial,18.75,71.02,96.0,5.0,16.0,Chennai
SUV,42036,2,Tata,Tata Nexon,2020,950000.0,Petrol,Automatic,1199.0,3993.0,1606.0,2498.0,1250.0,TubelessRadial,16.35,118.36,170.0,5.0,16.0,Chennai
SUV,22500,1,Mercedes-Benz,Mercedes-Benz GLA Class,2015,2140000.0,Diesel,Automatic,2143.0,4417.0,1494.0,2699.0,1505.0,TubelessRadial,13.0,134.1,300.0,5.0,17.0,Chennai
Sedan,80000,3,Chevrolet,Chevrolet Aveo,2008,140000.0,Petrol,Manual,1399.0,4310.0,1505.0,2480.0,1095.0,TubelessRadial,14.49,92.7,127.0,5.0,14.0,Chennai
SUV,29640,1,Honda,Honda WR-V,2017,760000.0,Petrol,Manual,1199.0,3999.0,1601.0,2555.0,1103.0,TubelessRadial,17.5,88.7,110.0,5.0,16.0,Chennai
SUV,52000,1,Land Rover,Land Rover Range Rover Velar,2018,7000000.0,Diesel,Automatic,1999.0,4797.0,1665.0,2874.0,1857.0,TubelessRadial,22.3,177.0,430.0,5.0,18.0,Chennai
Hatchback,100000,3,Hyundai,Hyundai i20,2012,300000.0,Diesel,Manual,1396.0,3995.0,1505.0,2525.0,1120.0,TubelessRadial,21.9,88.76,219.6,5.0,14.0,Chennai
SUV,32000,1,Ford,Ford Ecosport,2020,1080000.0,Diesel,Manual,1498.0,3998.0,1647.0,2519.0,1309.0,TubelessRadial,21.7,98.96,215.0,5.0,16.0,Chennai
Sedan,23678,2,Maruti,Maruti Ciaz,2016,650000.0,Petrol,Manual,1373.0,4490.0,1485.0,2650.0,1030.0,TubelessRadial,20.73,91.1,130.0,5.0,15.0,Chennai
Hatchback,38502,1,Maruti,Maruti Baleno,2018,680000.0,Petrol,Manual,1197.0,3995.0,1510.0,2520.0,865890.0,TubelessRadial,21.01,81.8,113.0,5.0,16.0,Chennai
SUV,100000,1,Skoda,Skoda Kodiaq,2018,2200000.0,Diesel,Automatic,1968.0,4697.0,1676.0,2791.0,1799.0,Tubeless,16.25,148.0,340.0,7.0,18.0,Chennai
Hatchback,30000,2,Ford,Ford Figo,2020,515000.00000000006,Petrol,Manual,1194.0,3941.0,1525.0,2490.0,10161033.0,Tubeless,18.5,94.93,119.0,5.0,15.0,Chennai
Hatchback,40091,1,Hyundai,Hyundai Grand i10,2019,520000.0,Petrol,Manual,1197.0,3765.0,1520.0,2425.0,1100.0,Tubeless,18.9,81.86,113.75,5.0,15.697549201633866,Chennai
Hatchback,48113,1,Renault,Renault KWID,2016,344000.0,Petrol,Manual,799.0,3679.0,1478.0,2422.0,710.0,TubelessRadial,25.17,53.3,72.0,5.0,15.697549201633866,Chennai
Sedan,50000,1,Mercedes-Benz,Mercedes-Benz C-Class,2017,3100000.0,Diesel,Automatic,2143.0,4686.0,1442.0,2840.0,1655.0,TubelessRadial,19.27,167.62,400.0,5.0,17.0,Chennai
SUV,50486,1,Hyundai,Hyundai Venue,2021,923000.0,Petrol,Manual,998.0,3995.0,1605.0,2500.0,1340.0,Radial,18.27,118.35,172.0,5.0,15.697549201633866,Chennai
Hatchback,26465,1,Honda,Honda Jazz,2017,662000.0,Petrol,Automatic,1199.0,3955.0,1544.0,2530.0,1066.0,TubelessRadial,19.0,88.7,110.0,5.0,15.0,Chennai
Sedan,50000,2,Mercedes-Benz,Mercedes-Benz C-Class,2008,750000.0,Petrol,Automatic,1796.0,4591.0,1447.0,2760.0,1585.0,TubelessRadial,11.74,186.0,285.0,5.0,17.0,Chennai
Sedan,33246,1,Maruti,Maruti Swift Dzire,2017,637000.0,Petrol,Automatic,1197.0,3995.0,1515.0,2450.0,860895.0,TubelessRadial,21.21,81.8,113.0,5.0,15.697549201633866,Chennai
SUV,30000,1,Ford,Ford Ecosport,2019,800000.0,Diesel,Manual,1498.0,3998.0,1647.0,2519.0,1300.0,TubelessRadial,23.0,98.96,205.0,5.0,16.0,Chennai
Hatchback,31754,1,Renault,Renault KWID,2021,454000.0,Petrol,Manual,999.0,3731.0,1490.0,2422.0,745.0,TubelessRadial,21.74,67.0,91.0,5.0,15.697549201633866,Chennai
SUV,91992,2,Jeep,Jeep Compass,2018,1184000.0,Diesel,Manual,1956.0,4395.0,1640.0,2636.0,1562.0,TubelessRadial,17.1,170.0,350.0,5.0,17.0,Chennai
SUV,70000,1,Maruti,Maruti Vitara Brezza,2019,760000.0,Diesel,Manual,1248.0,3995.0,1640.0,2500.0,1180.0,TubelessRadial,24.3,88.5,200.0,5.0,15.697549201633866,Chennai
MUV,60000,1,Toyota,Toyota Innova,2013,1100000.0,Diesel,Manual,2494.0,4585.0,1760.0,2750.0,1680.0,TubelessRadial,12.99,100.0,200.0,8.0,15.0,Chennai
Hatchback,30000,1,Hyundai,Hyundai Grand i10,2019,545000.0,Petrol,Manual,1197.0,3765.0,1520.0,2425.0,1120.0,Tubeless,18.9,81.86,113.75,5.0,15.697549201633866,Chennai
Sedan,50000,2,Skoda,Skoda Rapid,2013,400000.0,Petrol,Automatic,1598.0,4386.0,1466.0,2552.0,1180.0,TubelessRadial,14.3,103.5,153.0,5.0,15.0,Chennai
Hatchback,53250,1,Maruti,Maruti Wagon R,2010,254999.99999999997,Petrol,Manual,998.0,3655.0,1675.0,2435.0,805825.0,TubelessRadial,21.79,67.05,90.0,5.0,15.697549201633866,Chennai
Hatchback,51555,1,Skoda,Skoda Fabia,2010,250000.0,Diesel,Manual,1422.0,3992.0,1513.0,2462.0,1180.0,TubelessRadial,19.4,704000.0,15516002800.0,5.0,14.0,Chennai
Hatchback,10000,1,Maruti,Maruti Swift,2022,750000.0,Petrol,Manual,1197.0,3845.0,1530.0,2450.0,875905.0,TubelessRadial,22.38,88.5,113.0,5.0,15.697549201633866,Chennai
Hatchback,40000,1,Hyundai,Hyundai i20,2019,700000.0,Diesel,Manual,1396.0,3985.0,1505.0,2570.0,1180.0,Tubeless,22.54,88.76,224.0,5.0,15.0,Chennai
Sedan,110000,1,Honda,Honda City,2011,365000.0,Petrol,Manual,1497.0,4440.0,1485.0,2550.0,1100.0,TubelessRadial,16.8,116.4,146.0,5.0,15.0,Chennai
Sedan,60000,1,Honda,Honda City,2017,750000.0,Petrol,Manual,1497.0,4440.0,1495.0,2600.0,1061.0,TubelessRadial,17.4,117.6,145.0,5.0,15.0,Chennai
Hatchback,85486,3,Hyundai,Hyundai EON,2014,254000.0,Petrol,Manual,814.0,3495.0,1500.0,2380.0,880.0,Tubeless,21.1,55.2,74.5,5.0,15.697549201633866,Chennai
Hatchback,5022,1,Tata,Tata Altroz,2022,925000.0,Petrol,Automatic,1199.0,3990.0,1523.0,2501.0,1190.0,TubelessRadial,18.5,86.83,113.0,5.0,16.0,Chennai
Hatchback,39386,1,Maruti,Maruti Baleno,2019,750000.0,Petrol,Automatic,1197.0,3995.0,1510.0,2520.0,910935.0,TubelessRadial,19.56,81.8,113.0,5.0,16.0,Chennai
Hatchback,72679,2,Renault,Renault KWID,2016,326000.0,Petrol,Manual,799.0,3679.0,1478.0,2422.0,710.0,TubelessRadial,25.17,53.3,72.0,5.0,15.697549201633866,Chennai
Hatchback,83738,2,Hyundai,Hyundai Grand i10,2015,432000.0,Petrol,Manual,1197.0,3765.0,1520.0,2425.0,935.0,Tubeless,18.9,82.0,114.0,5.0,14.0,Chennai
Hatchback,10551,1,Volkswagen,Volkswagen Polo,2021,950000.0,Petrol,Manual,1199.0,3971.0,1469.0,2469.0,1044.0,TubelessRadial,16.2,74.0,110.0,5.0,15.0,Chennai
Hatchback,31795,3,Maruti,Maruti Celerio,2019,479000.0,Petrol,Automatic,998.0,3695.0,1560.0,2425.0,845.0,TubelessRadial,23.1,67.04,90.0,5.0,15.697549201633866,Chennai
Hatchback,76656,2,Maruti,Maruti Ritz,2009,229999.99999999997,Petrol,Manual,1197.0,3715.0,1620.0,2360.0,1100.0,TubelessRadial,21.1,85.8,114.0,5.0,14.0,Chennai
Hatchback,52524,1,Datsun,Datsun RediGO,2017,301000.0,Petrol,Manual,799.0,3429.0,1541.0,2348.0,770.0,TubelessRadial,22.7,53.64,72.0,5.0,15.697549201633866,Chennai
Hatchback,96165,1,Maruti,Maruti Swift,2013,443000.0,Diesel,Manual,1248.0,3850.0,1530.0,2430.0,1060.0,TubelessRadial,22.9,74.0,190.0,5.0,14.0,Chennai
Hatchback,92860,1,Hyundai,Hyundai i20,2014,440000.00000000006,Diesel,Manual,1396.0,3985.0,1505.0,2570.0,1515.0,Tubeless,22.54,88.73,219.7,5.0,15.697549201633866,Chennai
MUV,46976,1,Maruti,Maruti Ertiga,2013,660000.0,Petrol,Manual,1462.0,4395.0,1690.0,2740.0,11351170.0,TubelessRadial,19.01,103.26,138.0,7.0,15.697549201633866,Chennai
Hatchback,36383,1,Maruti,Maruti Alto,2007,165000.0,Petrol,Manual,796.0,3495.0,1460.0,2360.0,705.0,TubelessRadial,19.7,46.3,62.0,5.0,12.0,Chennai
SUV,2000,1,Mahindra,Mahindra XUV300,2022,1090000.0,Petrol,Automatic,1197.0,3995.0,1627.0,2600.0,1345.0,TubelessRadial,17.0,108.6,200.0,5.0,15.697549201633866,Chennai
SUV,26000,1,Kia,Kia Sonet,2021,1225000.0,Petrol,Automatic,998.0,3995.0,1642.0,2500.0,1230.0,TubelessRadial,18.3,118.36,172.0,5.0,16.0,Chennai
Hatchback,42891,1,Maruti,Maruti Swift,2018,620000.0,Petrol,Automatic,1197.0,3840.0,1530.0,2450.0,855885.0,Tubeless,21.21,81.8,113.0,5.0,15.697549201633866,Chennai
Hatchback,34640,1,Maruti,Maruti Wagon R,2015,395000.0,Petrol,Manual,998.0,3595.0,1700.0,2400.0,870.0,TubelessRadial,18.9,67.1,90.0,5.0,13.0,Chennai
Hatchback,40000,1,Maruti,Maruti Baleno,2017,580000.0,Petrol,Manual,1197.0,3995.0,1510.0,2520.0,880.0,TubelessRadial,21.4,83.1,115.0,5.0,16.0,Chennai
Sedan,129306,0,Maruti,Maruti Swift Dzire,2009,310000.0,Diesel,Manual,1248.0,4160.0,1530.0,2390.0,1105.0,TubelessRadial,19.3,73.9,190.0,5.0,14.0,Chennai
SUV,42662,1,Volkswagen,Volkswagen Taigun,2021,1450000.0,Petrol,Manual,999.0,4221.0,1612.0,2651.0,1255.0,TubelessRadial,20.08,113.98,178.0,5.0,17.0,Chennai
Sedan,64011,1,Hyundai,Hyundai Xcent,2016,525000.0,Petrol,Automatic,1197.0,3995.0,1520.0,2425.0,1100.0,Tubeless,19.1,82.0,114.0,5.0,15.697549201633866,Chennai
Hatchback,85750,3,Maruti,Maruti Swift,2013,409999.99999999994,Petrol,Manual,1197.0,3845.0,1530.0,2450.0,875905.0,TubelessRadial,22.38,88.5,113.0,5.0,15.697549201633866,Chennai
Hatchback,24774,1,Honda,Honda Jazz,2021,865000.0,Petrol,Manual,1199.0,3989.0,1544.0,2530.0,1063.0,TubelessRadial,17.1,88.5,110.0,5.0,15.0,Chennai
Hatchback,74348,1,Hyundai,Hyundai Grand i10,2019,581000.0,Petrol,Manual,1197.0,3765.0,1520.0,2425.0,1120.0,Tubeless,18.9,81.86,113.75,5.0,15.697549201633866,Chennai
Sedan,40711,1,Tata,Tata Tigor,2017,518000.0,Petrol,Manual,1199.0,3992.0,1537.0,2450.0,1052.0,TubelessRadial,20.3,84.0,114.0,5.0,15.0,Chennai
Hatchback,39386,1,Maruti,Maruti Baleno,2019,790000.0,Petrol,Automatic,1197.0,3995.0,1510.0,2520.0,910935.0,TubelessRadial,19.56,81.8,113.0,5.0,16.0,Chennai
Hatchback,93806,2,Maruti,Maruti Baleno,2016,547000.0,Petrol,Manual,1197.0,3995.0,1510.0,2520.0,870.0,TubelessRadial,21.4,83.1,115.0,5.0,15.697549201633866,Chennai
Hatchback,80000,1,Ford,Ford Figo,2014,300000.0,Diesel,Manual,1399.0,3795.0,1427.0,2489.0,1130.0,TubelessRadial,20.0,68.05,160.0,5.0,14.0,Chennai
Hatchback,86304,1,Tata,Tata Tiago,2016,407000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,84.0,114.0,5.0,14.0,Chennai
SUV,46566,2,Honda,Honda WR-V,2019,692000.0,Petrol,Manual,1199.0,3999.0,1601.0,2555.0,1103.0,TubelessRadial,17.5,88.7,110.0,5.0,16.0,Chennai
Hatchback,74367,1,Maruti,Maruti Swift,2015,455000.0,Petrol,Manual,1197.0,3840.0,1530.0,2450.0,855885.0,Tubeless,21.21,81.8,113.0,5.0,15.697549201633866,Chennai
Hatchback,48098,1,Maruti,Maruti Alto 800,2016,295000.0,Petrol,Manual,796.0,3395.0,1475.0,2360.0,720.0,Tubeless,22.74,47.3,69.0,5.0,15.697549201633866,Chennai
Sedan,36408,2,Honda,Honda City,2014,680000.0,Petrol,Automatic,1497.0,4440.0,1495.0,2600.0,1085.0,TubelessRadial,18.0,117.3,145.0,5.0,15.0,Chennai
MUV,60000,1,Maruti,Maruti Ertiga,2017,985000.0,Diesel,Manual,1248.0,4296.0,1685.0,2740.0,1260.0,TubelessRadial,24.52,88.5,200.0,7.0,15.0,Chennai
Hatchback,61696,2,Hyundai,Hyundai i10,2014,340000.0,Petrol,Manual,1197.0,3585.0,1550.0,2380.0,930.0,TubelessRadial,20.36,78.9,111.7,5.0,13.0,Chennai
Hatchback,110000,1,Tata,Tata Indica,2007,100000.0,Diesel,Manual,1396.0,3690.0,1485.0,2400.0,995.0,TubelessRadial,17.2,53.5,8.5,5.0,15.697549201633866,Chennai
Hatchback,85223,1,Maruti,Maruti Celerio,2015,365000.0,Petrol,Manual,998.0,3715.0,1565.0,2425.0,835.0,TubelessRadial,23.1,67.04,90.0,5.0,15.697549201633866,Chennai
MUV,120000,1,Toyota,Toyota Innova,2012,1050000.0,Diesel,Manual,2494.0,4585.0,1760.0,2750.0,1680.0,TubelessRadial,12.99,100.0,200.0,8.0,15.0,Chennai
Sedan,110000,2,Tata,Tata Indigo,2013,183000.0,Diesel,Manual,1396.0,3988.0,1540.0,2450.0,11051110.0,TubelessRadial,25.0,69.0,140.0,5.0,14.0,Chennai
Hatchback,33961,1,Volkswagen,Volkswagen Polo,2016,660000.0,Petrol,Manual,1199.0,3971.0,1469.0,2469.0,1044.0,TubelessRadial,16.2,74.0,110.0,5.0,15.0,Chennai
Sedan,76597,2,Honda,Honda Amaze,2014,403000.0,Petrol,Manual,1198.0,3990.0,1505.0,2405.0,950.0,TubelessRadial,18.0,86.7,109.0,5.0,14.0,Chennai
Hatchback,36573,3,Maruti,Maruti Baleno,2017,563000.0,Petrol,Manual,1197.0,3995.0,1510.0,2520.0,890.0,TubelessRadial,21.4,83.1,115.0,5.0,16.0,Chennai
SUV,10000,1,Toyota,Toyota Hyryder,2023,2000000.0,Petrol,Automatic,1462.0,4365.0,1645.0,2600.0,11901210.0,TubelessRadial,20.58,101.64,136.8,5.0,17.0,Chennai
Hatchback,45636,1,Maruti,Maruti Wagon R,2016,436000.00000000006,Petrol,Automatic,998.0,3599.0,1700.0,2400.0,895.0,Tubeless,20.51,67.0,90.0,5.0,15.697549201633866,Chennai
Sedan,58698,1,Maruti,Maruti Ciaz,2017,681000.0,Petrol,Automatic,1373.0,4490.0,1485.0,2650.0,1010.0,TubelessRadial,19.12,91.1,130.0,5.0,15.0,Chennai
Hatchback,10000,1,Maruti,Maruti Wagon R,2023,590000.0,Petrol,Manual,998.0,3655.0,1675.0,2435.0,810835.0,TubelessRadial,24.35,65.71,89.0,5.0,15.697549201633866,Chennai
Hatchback,77603,1,Maruti,Maruti Baleno,2016,632000.0,Diesel,Manual,1248.0,3995.0,1510.0,2520.0,985.0,TubelessRadial,27.39,74.0,190.0,5.0,16.0,Chennai
SUV,60000,1,Maruti,Maruti Vitara Brezza,2019,890000.0,Diesel,Automatic,1248.0,3995.0,1640.0,2500.0,1210.0,TubelessRadial,24.3,88.5,200.0,5.0,16.0,Chennai
Sedan,65675,2,Honda,Honda Amaze,2018,726000.0,Diesel,Automatic,1498.0,3995.0,1501.0,2470.0,1039.0,TubelessRadial,23.8,78.9,160.0,5.0,15.697549201633866,Chennai
Sedan,120797,1,Maruti,Maruti Swift Dzire,2015,551000.0,Diesel,Manual,1248.0,3995.0,1555.0,2430.0,1055.0,TubelessRadial,26.59,74.0,190.0,5.0,15.697549201633866,Chennai
Hatchback,10000,1,Hyundai,Hyundai i20,2019,850000.0,Petrol,Automatic,1197.0,3985.0,1505.0,2570.0,10541093.0,Tubeless,17.4,81.86,117.0,5.0,16.0,Chennai
Hatchback,18228,2,Maruti,Maruti Alto K10,2018,382000.0,Petrol,Manual,998.0,3545.0,1475.0,2360.0,779.0,TubelessRadial,23.95,67.05,90.0,5.0,15.697549201633866,Chennai
Sedan,33654,1,Maruti,Maruti Swift Dzire,2017,765000.0,Diesel,Manual,1248.0,4160.0,1530.0,2390.0,1090.0,TubelessRadial,19.3,73.9,190.0,5.0,14.0,Chennai
Hatchback,61633,2,Maruti,Maruti Zen Estilo,2010,195000.0,Petrol,Manual,998.0,3600.0,1595.0,2360.0,865.0,TubelessRadial,19.0,67.1,90.0,5.0,13.0,Chennai
Hatchback,45333,1,Renault,Renault KWID,2018,390000.0,Petrol,Manual,999.0,3679.0,1478.0,2422.0,730.0,TubelessRadial,23.01,67.0,91.0,5.0,15.697549201633866,Chennai
Hatchback,63670,1,Hyundai,Hyundai Grand i10,2018,480000.0,Diesel,Manual,1186.0,3765.0,1520.0,2425.0,1100.0,Tubeless,24.0,73.97,190.24,5.0,15.697549201633866,Chennai
Hatchback,95535,1,Maruti,Maruti Swift,2013,455000.0,Diesel,Manual,1248.0,3850.0,1530.0,2430.0,1080.0,TubelessRadial,22.9,74.0,190.0,5.0,15.0,Chennai
MUV,175000,1,Toyota,Toyota Innova Crysta,2016,1750000.0,Diesel,Automatic,2755.0,4735.0,1795.0,2750.0,1880.0,TubelessRadial,11.36,171.5,360.0,7.0,17.0,Chennai
Hatchback,80000,2,Volkswagen,Volkswagen Polo,2015,520000.0,Diesel,Manual,1498.0,3971.0,1469.0,2469.0,1158.0,TubelessRadial,20.14,88.8,230.0,5.0,15.0,Chennai
MUV,55500,1,Toyota,Toyota Innova Crysta,2020,2625000.0,Diesel,Automatic,2393.0,4735.0,1795.0,2750.0,1895.0,TubelessRadial,13.68,147.51,360.0,7.0,17.0,Chennai
SUV,42375,2,Honda,Honda WR-V,2017,782000.0,Petrol,Manual,1199.0,3999.0,1601.0,2555.0,1103.0,TubelessRadial,17.5,88.7,110.0,5.0,16.0,Chennai
Sedan,63155,2,Hyundai,Hyundai Xcent,2018,611000.0,Diesel,Manual,1186.0,3995.0,1520.0,2425.0,1140.0,Tubeless,25.4,73.97,190.25,5.0,14.0,Chennai
SUV,85000,2,Toyota,Toyota Fortuner,2015,1700000.0,Diesel,Manual,2982.0,4705.0,1850.0,2750.0,1880.0,TubelessRadial,13.0,168.5,343.0,7.0,17.0,Chennai
Sedan,106121,1,Maruti,Maruti Swift Dzire,2014,515000.00000000006,Diesel,Manual,1248.0,3995.0,1555.0,2430.0,1060.0,TubelessRadial,23.4,74.0,190.0,5.0,14.0,Chennai
Hatchback,51012,1,Maruti,Maruti Swift,2022,679000.0,Petrol,Manual,1197.0,3845.0,1530.0,2450.0,875905.0,TubelessRadial,22.38,88.5,113.0,5.0,15.697549201633866,Chennai
Sedan,62930,1,Maruti,Maruti Swift Dzire,2012,409999.99999999994,Petrol,Manual,1197.0,3995.0,1555.0,2430.0,970.0,TubelessRadial,19.0,85.8,114.0,5.0,14.0,Chennai
SUV,111242,1,Mahindra,Mahindra TUV 300,2019,798000.0,Diesel,Manual,1493.0,3995.0,1826.0,2680.0,1650.0,TubelessRadial,18.49,100.0,240.0,7.0,15.0,Chennai
SUV,16000,1,Kia,Kia Sonet,2022,944999.9999999999,Petrol,Manual,1197.0,3995.0,1642.0,2500.0,1192.0,TubelessRadial,18.4,81.86,115.0,5.0,15.697549201633866,Chennai
SUV,72898,1,Renault,Renault Duster,2018,885000.0,Diesel,Manual,1461.0,4315.0,1695.0,2673.0,1280.0,TubelessRadial,19.6,108.45,245.0,5.0,16.0,Chennai
